,Open,High,Low,Close,return,rv_gkyz,GPR_AI,EPU,GPR_AI_sc,EPU_sc
2024-07-18,5608.56005859375,5614.0498046875,5522.81005859375,5544.58984375,-0.7847112145350073,0.9654500673682114,159.85,129.38,1.5621595547187408,0.7883172543781951
2024-07-19,5543.3701171875,5557.5,5497.0400390625,5505.0,-0.7165879226406084,0.41238011459954743,151.07,376.84,1.404347037885976,2.3658555646379837
2024-07-22,5544.5400390625,5570.35986328125,5529.0400390625,5564.41015625,1.0734217246220292,0.7399503906041608,133.48,88.76,1.058533913601995,0.232276854405942
2024-07-23,5565.2998046875,5585.33984375,5550.89990234375,5555.740234375,-0.15593176939461903,0.180123038105725,155.72,78.76,1.4890356710865102,0.055894544721156195
2024-07-24,5505.83984375,5508.0400390625,5419.97998046875,5427.1298828125,-2.3421242222892857,1.3118761970080803,102.92,141.71,0.3322224397673038,0.9226414837923784
2024-07-25,5428.7001953125,5491.58984375,5390.9501953125,5399.22021484375,-0.5155889019717259,1.5968370739078923,147.02,79.17,1.3284343357335766,0.06355624627414998
2024-07-26,5433.669921875,5488.31982421875,5430.7001953125,5459.10009765625,1.1029420409570925,0.8772516646813392,129.63,39.71,0.9767751182557858,-0.954614466145148
2024-07-29,5476.5498046875,5487.740234375,5444.43994140625,5463.5400390625,0.08129795718284517,0.39375932945606995,160.68,68.12,1.5766269547226737,-0.15826892480930704
2024-07-30,5478.72998046875,5489.4599609375,5401.7001953125,5436.43994140625,-0.49725143613676215,1.1437788979871755,142.38,66.23,1.2388490297691903,-0.1997889701240818
2024-07-31,5505.58984375,5551.509765625,5493.75,5522.2998046875,1.5669980701917767,2.109026003811466,192.4,73.45,2.0799104108398048,-0.047104369288036005
2024-08-01,5537.83984375,5566.16015625,5410.419921875,5446.68017578125,-1.3788123791990166,3.041482480357814,203.39,53.04,2.235086441619022,-0.527505645755772
2024-08-02,5376.6298828125,5383.89013671875,5302.02978515625,5346.56005859375,-1.855290660855327,2.727836478240032,229.71,60.98,2.575035079084433,-0.3216570128609576
2024-08-05,5151.14013671875,5250.89013671875,5119.259765625,5186.330078125,-3.04270413923931,16.9083098642267,234.64,97.69,2.6343546359287284,0.37373452898174037
2024-08-06,5206.419921875,5312.33984375,5193.56005859375,5240.02978515625,1.0300849493599515,2.546256320473335,211.8,150.14,2.3482713771572254,1.0079109875568633
2024-08-07,5293.1298828125,5330.64013671875,5195.5400390625,5199.5,-0.7764715388769489,3.0810737137784714,186.44,207.85,1.9920068688002253,1.4878546985376027
2024-08-08,5252.56982421875,5328.02978515625,5233.85009765625,5319.31005859375,2.2781139590898882,2.0057280689671493,170.64,53.33,1.7446321340189905,-0.5194595545989975
2024-08-09,5314.66015625,5358.669921875,5300.83984375,5344.16015625,0.4660798434381699,0.4779573883262337,196.81,18.65,2.1432176385268527,-2.069825759122874
2024-08-12,5351.8798828125,5371.2001953125,5324.3701171875,5344.39013671875,0.00430330517200971,0.39668237534639716,193.54,122.7,2.0964135450547663,0.7100923943796789
2024-08-13,5376.97998046875,5436.5,5376.97998046875,5434.43017578125,1.6707233419049987,0.5392217487162129,101.7,76.44,0.29891072368157606,0.011774732684209352
2024-08-14,5442.35986328125,5463.22021484375,5415.91015625,5455.2099609375,0.381643656119841,0.3780038725357095,211.99,88.36,2.35077623472096,0.2256118850039603
2024-08-15,5501.1298828125,5546.22998046875,5501.1298828125,5543.22021484375,1.6004489931304131,0.8115516379909052,149.63,120.48,1.3775915734775637,0.6831496258999572
2024-08-16,5530.5,5561.97998046875,5525.169921875,5554.25,0.19878023683961515,0.20230327067226853,155.58,221.13,1.4865230381172492,1.5792459988179297
2024-08-19,5557.22998046875,5608.2998046875,5550.740234375,5608.25,0.9675327436177775,0.21237416497064987,194.15,194.96,2.1052042904957653,1.3933820666526469
2024-08-20,5602.8798828125,5620.509765625,5585.5,5597.1201171875,-0.1986527237609709,0.2003043131800166,188.8,88.54,2.0271458132756703,0.22861484713757838
2024-08-21,5603.08984375,5632.68017578125,5591.56982421875,5620.85009765625,0.4230714721006796,0.24097525658700755,160.07,54.32,1.5660015910549812,-0.49231776758305057
2024-08-22,5637.77001953125,5643.22021484375,5560.9501953125,5570.64013671875,-0.8972942256657219,0.6144312187492684,136.27,116.81,1.1163220044305493,0.6375011487319611
2024-08-23,5602.490234375,5641.81982421875,5585.16015625,5634.60986328125,1.141793740166443,0.7081939603699486,185.26,87.14,1.9742702425359848,0.20509578820335309
2024-08-26,5639.66015625,5651.6201171875,5602.33984375,5616.83984375,-0.31587101696058145,0.32802514281771855,157.48,69.6,1.5204317632722426,-0.12655233727434245
2024-08-27,5602.89013671875,5631.18017578125,5593.47998046875,5625.7998046875,0.15939251127232035,0.2231300280880849,160.33,63.73,1.5705353773532489,-0.2565681243022129
